Form,M/F,B/D,House,Room/Bed,Rm Type,1,2,3,4,5,6,
4,F,B,ARCH,307B,Double,ARCH,HALL,LBRY,WWING,BERNHS,CHAPHS,MCCOOK
4,F,B,ARCH,310B,,,,,,,,
4,F,B,MCCOOK,104A,Single,MCCOOK,ARCH,WWING,LBRY,CHAPHS,BERNHS,
4,F,B,MCCOOK,102A,Single,MCCOOK,ARCH,WWING,BERNHS,LBRY,CHAPHS,
4,F,B,BERNHS,208A,Double,LBRY,WWING,HALL,ARCH,BERNHS,CHAPHS,MCCOOK
4,F,B,ARCH,205A,Single,MCCOOK,ARCH,CHAPHS,WWING,BERNHS,LBRY,
4,F,B,ARCH,205A,Double,MCCOOK,ARCH,CHAPHS,BERNHS,WWING,HALL,LBRY
4,F,B,MCCOOK,208B,,,,,,,,
4,F,B,BERNHS,108A,Double,LBRY,HALL,WWING,ARCH,CHAPHS,BERNHS,MCCOOK
4,F,B,MCCOOK,211A,Single,MCCOOK,ARCH,BERNHS,CHAPHS,WWING,LBRY,
4,F,B,BERNHS,205A,Double,ARCH,BERNHS,HALL,MCCOOK,WWING,CHAPHS,LBRY
4,F,B,MCCOOK,103A,Double,LBRY,WWING,HALL,ARCH,BERNHS,CHAPHS,MCCOOK
4,F,B,BERNHS,122A,Single,BERNHS,ARCH,WWING,MCCOOK,LBRY,CHAPHS,
4,F,B,BERNHS,212A,Double,WWING,LBRY,HALL,MCCOOK,ARCH,BERNHS,CHAPHS
4,F,B,HALL,305A,Triple,LBRY,HALL,,,,,
4,F,B,MCCOOK,107B,Double,LBRY,HALL,WWING,ARCH,MCCOOK,BERNHS,CHAPHS
4,F,B,MCCOOK,209A,Single,MCCOOK,ARCH,LBRY,WWING,CHAPHS,BERNHS,
4,F,B,HALL,305B,Triple,LBRY,HALL,,,,,
4,F,B,HALL,305C,Triple,LBRY,HALL,,,,,
4,F,B,HALL,211A,Single,WWING,LBRY,MCCOOK,CHAPHS,ARCH,BERNHS,
4,F,B,ARCH,302A,Single,WWING,LBRY,MCCOOK,ARCH,,,
4,F,B,MCCOOK,212A,Double,LBRY,WWING,HALL,MCCOOK,ARCH,CHAPHS,BERNHS
4,F,B,BERNHS,107A,Triple,HALL,WWING,,,,,
4,F,B,SPAIN,007A,Double,ARCH,MCCOOK,WWING,HALL,LBRY,BERNHS,CHAPHS
4,F,B,BERNHS,125B,Single,WWING,LBRY,BERNHS,MCCOOK,,,
4,F,B,BERNHS,108B,Double,WWING,LBRY,HALL,ARCH,MCCOOK,CHAPHS,BERNHS
4,F,B,MCCOOK,200B,Single,ARCH,MCCOOK,CHAPHS,BERNHS,,,
4,F,B,MCCOOK,200B,Double,MCCOOK,ARCH,CHAPHS,BERNHS,WWING,HALL,LBRY
4,F,B,ARCH,207A,Double,LBRY,WWING,HALL,ARCH,MCCOOK,BERNHS,CHAPHS
4,F,B,ARCH,207B,,,,,,,,
4,F,B,BERNHS,124A,Single,CHAPHS,ARCH,MCCOOK,LBRY,BERNHS,WWING,
4,F,B,ARCH,308B,Single,ARCH,HALL,WWING,LBRY,BERNHS,MCCOOK,
4,F,B,BERNHS,205B,Double,LBRY,HALL,WWING,ARCH,,,
4,F,B,SPAIN,008A,Double,ARCH,HALL,LBRY,WWING,BERNHS,CHAPHS,MCCOOK
4,F,B,BERNHS,211A,Single,ARCH,MCCOOK,BERNHS,WWING,,,
4,F,B,BERNHS,208B,Double,LBRY,HALL,ARCH,WWING,BERNHS,CHAPHS,MCCOOK
4,F,B,ARCH,203B,Double,LBRY,HALL,ARCH,WWING,BERNHS,CHAPHS,MCCOOK
4,F,B,BERNHS,224A,Single,WWING,ARCH,MCCOOK,LBRY,BERNHS,,
4,F,B,HALL,211B,Double,ARCH,HALL,WWING,LBRY,CHAPHS,BERNHS,MCCOOK
4,F,B,MCCOOK,105A,Double,ARCH,MCCOOK,BERNHS,HALL,WWING,CHAPHS,LBRY
4,F,B,HALL,203B,Single,LBRY,BERNHS,ARCH,WWING,CHAPHS,MCCOOK,
4,F,B,BERNHS,111A,Double,LBRY,WWING,HALL,ARCH,MCCOOK,BERNHS,CHAPHS
4,F,B,BERNHS,223A,Double,WWING,LBRY,HALL,MCCOOK,ARCH,BERNHS,CHAPHS
